Il faut  6h d'avion pour aller au Groenland, combien cela fait-il en minute ?;360;1200;500;600;0
Quel animal n'ai pas present en Groenland;Le loup;pingouin;Le cheval;L'ours;2
Dans quelle mer ou océan est situé le Groenland ?;L'océan Atlantique;L'océan Arctique;La mer du Nord;L'océan Antarctique;0
De quel pays dépend cette province autonome ?;Du Royaume-Uni;Du Canada;Des Etats unis;Du Danemark;3
Quelle est la monnaie du Groenland ?;L'euro;Le dollar canadien;La couronne danoise;Le dollar;2
Quelle langue parle-t-on au Groenland ?;Le groenlandais;Français;Portugais;Anglais;0
Quelle est sa capitale ?;Ottawa;New york;Nuuk;Paris;2
fin;0;0;0;0;0
De Paris, Il faut environ 8h d'avion pour aller à NewYork, combien cela fait il en minutes ?;80;800;480;1200;2
Quel pays n'ai pas en Amérique du nord ?;Cuba;Etats Unis;Mexique;Canada;0
Quel pays n'ai pas en Amérique du sud ?;Etats Unis;Mexique;Argentine;Canada;2
Quel est le plus vaste pays d'Amérique du Nord ?;Russie;Canada;Etats Unis;Mexique;1
Quelle langue est parler au Etats Unis;Espagnol;Francer;Portugais;Anglais;3
Quelle langue est parler au Mexique;Espagnol;Francer;Portugais;Anglais;0
Quel animal n'ai pas present en Amérque du Nord;Le cheval;Le loup;la girafe;L'ours;2
Quel animal n'ai pas present en Amérque du Nord;Le cheval;le lion;Le loup;L'ours;1
Ou on eu lieu les présedent jeux olympiques d'hivers de 2010 ?;Toronto;Vancouver;Québec;Montréal;1
Quel animal est le symbole des Etats unis ?;L'aigle;Le cheval;Le loup;L'ours;0
fin;0;0;0;0;0
Quel pays n'ai pas en Amérique du sud ?;Argentine;Brésil;Paraguay;Canada;3
Quel pays n'ai pas en Amérique du sud ?;Argentine;Brésil;Afrique du sud;Paraguay;2
Quel est le plus vaste pays d'Amérique du Sud ?;Argentine;Brésil;Paraguay;mexique;1
Quelle langue est parler en Argentine;Espagnol;Francer;Portugais;Anglais;0
Quelle langue est parler en Brésil;Espagnol;Francer;Portugais;Anglais;2
De Paris, Il faut environ 12h d'avion pour aller au Brésil, combien cela fait il en minutes ?;80;720;480;1200;1
Quel animal n'ai pas present en Amérque du sud;Le puma;Le lama;La mygale;l'éléphant;3
Quel animal n'ai pas present en Amérque du sud;Le puma;le lion;Le lama;La mygale;1
Où se jette L'Amazone (fleuve) ?;océan pacifique;océan indien;mer du nord;océan atlantique;3
Ou auront lieu les prochains jeux olympiques de 2016 ?;Rio de janeiro;Bresilia;Salvador;Porto seguro;0
fin;0;0;0;0;0
De quel pays sont les Hollandais?;Pays-bas;suède;macédoine;belgique;0
Quel pays ne fait pas parti de l'Union Europeenne ?;France;Russie;Italie;Irlande;1
Quel pays ne fait pas parti de l'Union Europeenne ?;France;Italie;Suisse;Irlande;2
Quel pays est a la fois en Europe et en Asie ?;France;Grèce;Suisse;Ruissie;3
Quel animal n'ai pas present en Europe;Le pigeon;Le cheval;Le loup;l'éléphant;3
Quel animal n'ai pas present en Europe;Le pigeon;Le cheval;Le lama;Le loup;2
Quelle est la monnaie du l'Union Europeenne ?;L'euro;Le dollar canadien;Le franc suisse;Le dollar;0
Ou on eu lieu les présedent jeux olympiques de 2012 ?;Londre;Rio de janeiro;Paris;Bruxelle;0
Quelle est la capital de l'Union Europeenne;Paris;Amsterdam;Rome;Bruxelle;3
Quelle ville est surnommé la ville lumiere?;Paris;Amsterdam;Rome;Bruxelle;0
fin;0;0;0;0;0
Il faut 10h d'avion pour aller en Afrique du sud, combien cela fait il en minute ?;20;1200;600;720;2
Quel animal n'ai pas present en Afrique;La girafe;le lion;L'ours;l'éléphant;2
Quel animal n'ai pas present en Afrique;La girafe;Le cheval;le lion;l'éléphant;1
Dans quel pays a eu lieu la coupe du monde de foot en 2014 ?;Afrique du sud;L'Algérie;L'Egypte;L'Éthiopie;0
Quelle est le pays le plus pauvre ?;Afrique du sud;L'Algérie;L'Egypte;L'Éthiopie;3
Quelle est le pays qui a vu naitre les pharaon ?;Afrique du sud;L'Algérie;L'Egypte;L'Éthiopie;2
Où se jette le nil (fleuve) ?;océan pacifique;océan indien;mer du nord;mer méditerranée;3
Quelle pays à été un colonie Français ?;Afrique du sud;L'Algérie;L'Egypte;L'Éthiopie;1
Quelle mer borde l'Afrique (au nord) ?;océan pacifique;océan indien;mer du nord;mer méditerranée;3
Quelle est le désert au coueur de l'Afrique ?;Sahara;Libye;Karakoum;Namib;0
fin;0;0;0;0;0
Quel pays est a la fois en Europe et en Asie ?;France;Grèce;Suisse;Ruissie;3
Quelle langue est parler en Inde;Espagnol;Francer;Portugais;Anglais;3
Quel est le plus vaste pays d'Asie ?;Russie;Inde;Japon;chine;0
Quel pays est réputé dans les nouvelle technologie ?;Russie;Japon;chine;Inde;1
Quel animal n'ai pas present en Asie;La girafe;le Panda;L'ours;l'éléphant;0
Quel animal n'ai pas present en Asie;Le cheval;le lion;kangourou;l'éléphant;1
Quelle est la monnaie du Groenland ?;L'euro;Le dollar canadien;Yuan;Le dollar;2
Il faut 10h d'avion pour aller en chine, combien cela fait il en minute ?;20;1200;600;720;2
Quel pays est réputé dans le cinéma ?;Russie;Japon;chine;Inde;3
Quel pays conte le plus d'habitants ?;Russie;Japon;chine;Chine;2
fin;0;0;0;0;0
Quelle est la Capitale de l'Australie ?;Sydney;Melbourne;Canberra;Brisbane;2
La Grande Barrière de Corail fait 2500 km, Combien cela fait-il en métre ?;2500;2500000;25;2,5;1
Les australiens élèvent en grand nombre ?;Cheveaux;Chèvres;Cochons;Moutons;3
Quelle langue est parler en Australie ?;Espagnol;Francer;Portugais;Anglais;3
Quel animal n'ai pas present en Asie ?;L'Ours;Le kangourou;Le Koala;La Tortue;0
Quel animal n'ai pas present en Asie ?;Le kangourou;Le Koala;Le Panda;La Tortue;2
De quel pays etait la colonie l'Australie ?;La France;L'Angletaire;La chine;Le Japon;1
L'Australie est ?;Une monarchie absolue;Une monarchie constitutionnelle;Une dictature;Une république;1
"Que signifie le mot ""Australie""?";La terre du sud;La terre isolée;La terre extérieure;terre de l'enfer;0
L'Australie etait avant ?;Une terre de cultivateur;Une prison;Une station balnaire;Une colonie de vacances;1
fin;0;0;0;0;0
